test_file	pre_sha256	post_sha256	changed
tests/application/AT1.3_FullWorkflow_ConflictResolve/test_fullworkflow_conflict_resolve.py	a22bc3b26a7d	788c93eb75ed	Y
tests/application/AT1.5_FullWorkflow_RecoveryRestore/test_fullworkflow_recovery_restore.py	7c16ffee9bdc	634b4c84bbb8	Y
tests/application/AT1.4_FullWorkflow_AdminProfileCRUD/test_fullworkflow_admin_profile_crud.py	48ffa90ceabc	f533da4b0cfa	Y
tests/application/AT1.7_JWTAuthContract/test_at_jwt_auth_contract.py	4533db5053c1	4533db5053c1	N
tests/application/AT1.1_FullWorkflow_BranchEditPush/test_fullworkflow_branch_edit_push.py	ba08ceaa9e62	dacea197a5cd	Y
tests/application/AT_PROFILE_LIFECYCLE/test_repo_profile_lifecycle.py	db62376b0cc1	db62376b0cc1	N
tests/application/AT1.6_A2AHealthAuthContract/test_a2a_health_auth_contract.py	7a27afd5fb0f	2d861de83fc5	Y
tests/application/AT1.2_FullWorkflow_TagBrowse/test_fullworkflow_tag_browse.py	3f8db88e3662	bd755a21111e	Y
tests/system/ST1.3_BranchCreateCommitPush/test_branch_create_commit_push.py	c5e41f00bee7	9b9323ed1ce4	Y
tests/system/ST1.4_TagCreateAndList/test_tag_create_and_list.py	fd13c9d41f3f	1de158d6d902	Y
tests/system/ST1.6_RebaseSimple/test_rebase_simple.py	6753a2a4f63d	3928d7a7fb74	Y
tests/system/ST1.10_AuditLogPersistence/test_audit_log_persistence.py	3b2f08d63a87	0f3e2d3288f4	Y
tests/system/ST1.1_WorkspaceCreateEphemeral/test_workspace_create_ephemeral.py	249daf49854c	e553ee1b2a2d	Y
tests/system/ST1.2_WorkspaceCreatePersistent/test_workspace_create_persistent.py	170c6d17ee4f	2c1509d78af3	Y
tests/system/ST1.11_DatabaseMigration/test_database_migration.py	85f65a61fa47	85f65a61fa47	N
tests/system/ST1.11_DatabaseMigration/test_database_migration_multibackend.py	fc1a685d3542	07979480e295	Y
tests/system/ST1.9_RetentionEnforcement/test_retention_enforcement.py	29ab04040bc2	5fabd4123195	Y
tests/system/ST_IntegrityVerifier/test_integrity_running.py	8b60315ccd09	8b60315ccd09	N
tests/system/ST1.8_RecoveryOnCrash/test_recovery_on_crash.py	0554080823a0	adaf2c67699d	Y
tests/system/ST1.12_WorkspacePersistenceReopen/test_workspace_persistence_reopen.py	0a36e57cd915	0233e6dfd20e	Y
tests/system/ST1.7_StashSaveAndPop/test_stash_save_and_pop.py	0fcddfbc62e6	f3fdf31172db	Y
tests/system/ST_LogRotation/test_rotation_config.py	667303705b8b	667303705b8b	N
tests/system/ST1.5_MergeFFOnly/test_merge_ff_only.py	9f48b1b2c896	acb8c550653d	Y
tests/quality/QT_LoggingCompliance/test_logging_compliance.py	042706d965a9	042706d965a9	N
tests/quality/QT_PACKAGE_COMPLIANCE/test_package_compliance.py	c628ffd21710	c628ffd21710	N
tests/quality/QT_COMPLIANCE/test_qt3_documentation_suite.py	0eaf06974c32	0eaf06974c32	N
tests/quality/QT_COMPLIANCE/test_qt26_secrets_separation.py	3bc6b50c292c	3bc6b50c292c	N
tests/quality/QT_COMPLIANCE/test_qt_package_adoption.py	9902db5a419b	9902db5a419b	N
tests/quality/QT_COMPLIANCE/test_qt_migration_completeness.py	2cc2740db20f	2cc2740db20f	N
tests/quality/QT_COMPLIANCE/test_qt27_bespoke_code_scan.py	cbcf6ce0032f	cbcf6ce0032f	N
tests/quality/QT_COMPLIANCE/test_qt_traceability.py	cf9a954d72ad	cf9a954d72ad	N
tests/quality/QT_COMPLIANCE/test_qt_rules_compliance.py	60ed0089aa2f	60ed0089aa2f	N
tests/quality/QT_COMPLIANCE/test_qt_vault_config_contract.py	2f33d8f8bf12	2f33d8f8bf12	N
tests/quality/QT_COMPLIANCE/test_qt1_security_suite.py	39c21097168b	39c21097168b	N
tests/quality/QT_COMPLIANCE/test_qt_library_server_separation.py	5cf031c16464	7bbd842f517d	Y
tests/smoke/test_access_control_matrix.py	021768bb31a2	4b3417a92b01	Y
tests/integration/IT1.10_RemoteBranchPush/test_remote_branch_push.py	024927b69471	9524d30e0348	Y
tests/integration/IT1.62_DeepFlowJobs/test_deep_flow_jobs.py	c1dec3f03266	c1dec3f03266	N
tests/integration/IT1.11_A2AHealthAuthContract/test_it_a2a_health_auth_contract.py	013350b96f3e	26bc43acc4fa	Y
tests/integration/IT1.4_APIRBACEnforce/test_api_rbac_enforce.py	6c7a69bb3dfb	e93b9c4b2504	Y
tests/integration/IT1.14_AdminCrudParity/test_admin_crud_parity.py	4c33e216c40e	634a1892ae18	Y
tests/integration/IT1.5_MCPToolCatalogue/test_mcp_tool_catalogue.py	c4fe0fe63556	8b755d97d0ba	Y
tests/integration/IT1.2_APIAuthReject/test_api_auth_reject.py	4d2c969f9d7e	32c3ccf3a035	Y
tests/integration/IT1.13_ConfigChangeEventBroadcast/test_config_change_event_broadcast.py	d18309022449	6308e4afcf88	Y
tests/integration/IT1.7_APIFileOpsRefReadonly/test_api_file_ops_ref_readonly.py	50359beba0a5	50359beba0a5	N
tests/integration/IT1.8_CorrelationIDPropagation/test_correlation_id_propagation.py	cadb300caa2f	2d9f08b42df3	Y
tests/integration/IT1.6_MCPToolExecution/test_mcp_tool_execution.py	c29fa04550ae	d73ec2c2ad72	Y
tests/integration/IT1.9_RemoteCloneAndFetch/test_remote_clone_and_fetch.py	eec012a33c41	267113abfbff	Y
